hostname,state,software,user_count,note_count,peer_count,discovered_at
www.m0tzo.co.uk,up,wordpress,4,304,,1667909541
claristdon.link,up,mastodon,14,16245,1294,1612578267
bkgrdclrschm.link,up,misskey,4,847,3101,1651999363
cultur.social,up,mastodon,63,90,2317,1667990153
social.vtopia.live,up,misskey,9,160,1766,1667839829
fotomenschen.kopfstim.me,up,wordpress,1,0,,1666830664
stinkytoot.social,up,mastodon,3,47,1422,1667950442
gerritniezen.com,up,writefreely,1,251,,1612578267
ninetailed.space,up,mastodon,7,360,1883,1641431321
live.loveyourdemons.games,up,,1,19,0,1657417988
social.devanooga.com,up,mastodon,28,269,2734,1612578266
toot.metafilter.com,up,mastodon,1,1,127,1652400214
pixelfilm.nz,up,pixelfed,1,14,13,1662532068
christodon.com,up,mastodon,7,20,430,1612579124
campduffel.social,up,mastodon,13,1722,6625,1612578269
nicehat.lol,up,mastodon,2,4,440,1668236389
mieth.social,up,mastodon,4,409,2540,1651509245
fedi.ruinouspowe.rs,up,pleroma,5,2841,5295,1643420763
don.zatta.dev,up,mastodon,2,204,754,1644531970
pod.appliedmachine.app,up,mastodon,8,46,3334,1667706438
social.basti.dev,up,mastodon,2,1,1392,1667694374
pegelinux.top,up,mastodon,8,193,4170,1667666995
blubrry.chat,up,mastodon,3,8,142,1668200216
brewing.social,up,mastodon,1,1,54,1667842036
mastodon.blessedgeeks.com,up,mastodon,1,626,3328,1664642497
namelesscitizen.space,up,mastodon,3,2435,752,1654870910
skyjake.fi,up,mastodon,2,753,5315,1612578266
m.unix.house,up,mastodon,1,21,1173,1668427733
edge.taruntarun.net,up,mastodon,12,657,1771,1612578269
climatejustice.events,up,Mobilizon,36,166,,1654078273
borderlandkeep.com,up,pleroma,6,50,45,1668040806
kurosawa.moe,up,pleroma,3,1738,4718,1663056950
mastodon.sparkcommunities.net,up,mastodon,1,2,309,1667639407
freelancer.social,up,mastodon,2,0,3,1652237282
parti-science.africa,up,mastodon,3,20,1053,1667840655
madost.one,up,misskey,26,767245,3423,1612578266
plr.inferencium.net,up,pleroma,3,4368,6571,1651230334
social.scambi.org,up,mastodon,29,663,4653,1661500640
eveningzoo.club,up,pleroma,98,112468,8281,1625209250
10000x.dev,up,mastodon,3,120,3301,1667794910
wehavecookies.social,up,mastodon,8,425,1303,1668296264
mastodon.samfira.com,up,mastodon,5,93,1858,1667809489
mastodon.mobi.com,up,mastodon,1,1,4459,1667179673
deathbycomputers.co.uk,up,mastodon,2,52,1532,1667582609
blog.robutti.me,up,writefreely,1,25,,1618532354
herrhaensel.de,up,wordpress,1,8,,1667368430
octodon.social,up,mastodon,12145,2178036,22563,1612578266
mastodon.becking.saarland,up,mastodon,1,3,628,1668414000
touitteur.net,up,mastodon,3,48,630,1668034391
slayers.online,up,mastodon,2,11,737,1668392646
espod.social,up,mastodon,30,174,582,1668275342
mastodon.preppers-shelter.nl,up,mastodon,6,345,1204,1667753046
friends.brockha.us,up,,0,0,0,1668755240
elefant.fopnu.pw,up,mastodon,3,0,1845,1668394065
toot.a-lec.org,up,mastodon,7,760,4032,1633385521
transponderings.blog,up,wordpress,1,87,,1651004483
finkasaur.us,up,mastodon,3,229,3197,1667498822
social.ordinal.garden,up,mastodon,24,2124,5709,1612578270
social.datendusche.uk,up,mastodon,1,2,232,1667484307
mastodon.hinata.cz,up,mastodon,3,5,97,1668440078
