"","user_group","date","instance_count","instance_perc","user_sum","user_perc","post_sum","post_perc","post_ratio","instance_diff","user_diff","post_diff","post_ratio_diff"
"822","10000+",2023-03-29,94,0.00748646065625996,5778894,0.815496092913224,323375566,0.511294762580418,55.9580372991787,-1,-19860,-77124,0.178349110992066
"823","0-1",2023-03-30,3503,0.278657226950919,3463,0.000490258327773156,2836169,0.00448819303999838,818.991914524978,5,6,18980,4.06885985329768
"824","1-10",2023-03-30,6002,0.477448094821414,23587,0.00333922124666053,9936386,0.0157241752829036,421.265358036206,9,45,31423,0.52952420730486
"825","10-100",2023-03-30,1971,0.1567894360035,63958,0.00905456024479223,29209521,0.0462236096840091,456.698473998562,1,88,70559,0.475489811932448
"826","100-1000",2023-03-30,680,0.0540927531620396,224357,0.0317623123431134,75448382,0.119395883310035,336.287176241437,-2,-310,53414,0.701763163414455
"827","1000-10000",2023-03-30,321,0.0255349614191393,997626,0.141234321254121,192500139,0.304628456223349,192.958221818597,2,5702,667718,-0.436051331361739
"828","10000+",2023-03-30,94,0.00747752764298783,5750632,0.814119326583539,321987187,0.509539682459704,55.9916174430915,0,-28262,-1388379,0.0335801439127721
"829","0-1",2023-03-31,3489,0.27785299036394,3449,0.000484183525350215,2828757,0.00445867204728289,820.167294868078,-14,-14,-7412,1.17538034309928
"830","1-10",2023-03-31,6013,0.478856414748746,23632,0.00331754858540919,10072500,0.0158762220283527,426.222918077183,11,45,136114,4.95756004097706
"831","10-100",2023-03-31,1963,0.156327148204189,63892,0.00896939802889996,29776254,0.0469331764384836,466.040411945157,-8,-66,566733,9.34193794659592
"832","100-1000",2023-03-31,678,0.0539937883252369,224094,0.0314591542272633,74334506,0.117165661119277,331.711272947959,-2,-263,-1113876,-4.57590329347727
"833","1000-10000",2023-03-31,319,0.0254041570438799,993902,0.139527681708504,192597372,0.303570974430305,193.779036564973,-2,-3724,97233,0.820814746375873
"834","10000+",2023-03-31,95,0.00756550131400812,5814363,0.816242033924574,324829962,0.511995293936299,55.8668184287772,1,63731,2842775,-0.12479901431432
"835","0-1",2023-04-01,3477,0.277294840098891,3437,0.000482326257998659,2828040,0.00445472985925165,822.822228687809,-12,-12,-717,2.65493381973147
"836","1-10",2023-04-01,6009,0.479224818566074,23560,0.00330625738680489,10069532,0.0158615312616123,427.399490662139,-4,-72,-2968,1.17657258495575
"837","10-100",2023-04-01,1959,0.156232554430178,63758,0.00894738363615901,29565016,0.0465708262840882,463.706766209731,-4,-134,-211238,-2.33364573542696
"838","100-1000",2023-04-01,681,0.0543105510806284,225860,0.0316957255256262,74615160,0.117533833045091,330.360223147082,3,1766,280654,-1.35104980087709
"839","1000-10000",2023-04-01,318,0.0253608740728926,991690,0.139167333952485,192594056,0.303374242223443,194.20792384717,-1,-2212,-3316,0.428887282196769
"840","10000+",2023-04-01,95,0.00757636175133583,5817577,0.816400973240927,325168038,0.512204837326514,55.8940668941726,0,3214,338076,0.0272484653954592
